date,title,source,url
2018-09-24T13:00:23Z,Microsoft’s machine learning tools for developers get smarter,techcrunch,http://techcrunch.com/2018/09/24/microsofts-machine-learning-tools-for-developers-get-smarter/
2018-09-07T23:01:12Z,DARPA announces $2B investment in AI,techcrunch,http://techcrunch.com/2018/09/07/darpa-announces-2b-investment-in-ai/
2018-09-20T14:10:15Z,AI could help push Neo4j graph database growth,techcrunch,http://techcrunch.com/2018/09/20/ai-could-help-push-neo4j-graph-database-growth/
2018-09-07T01:11:18Z,Kinta AI uses artificial intelligence to make factories more efficient,techcrunch,http://techcrunch.com/2018/09/06/kinta-ai-startup-battlefield/
2018-09-13T17:29:59Z,Facebook unveils “SapFix” AI auto-debugger and AI chip partners like Intel,techcrunch,http://techcrunch.com/2018/09/13/facebook-sapfix-debugger/
2018-09-11T20:30:40Z,Safe artificial intelligence requires cultural intelligence,techcrunch,http://techcrunch.com/2018/09/11/safe-artificial-intelligence-requires-cultural-intelligence/
2018-09-06T17:47:41Z,PagerDuty raises $90M to wake up more engineers in the middle of the night,techcrunch,http://techcrunch.com/2018/09/06/pagerduty-raises-90m-to-wake-up-more-engineers-in-the-middle-of-the-night/
2018-09-28T21:06:26Z,5 takeaways on the state of AI from Disrupt SF,techcrunch,http://techcrunch.com/2018/09/28/5-takeaways-on-the-state-of-ai-from-disrupt-sf/
2018-09-13T17:09:11Z,US lawmakers warn spy chief that ‘deep fakes’ are a national security threat,techcrunch,http://techcrunch.com/2018/09/13/us-lawmakers-warn-spy-chief-that-deep-fakes-are-a-national-security-threat/
2018-09-10T14:01:10Z,Atrium raises $65M from A16z to replace lawyers with machine learning,techcrunch,http://techcrunch.com/2018/09/10/atrium-legal/
2018-09-27T15:22:18Z,Meet the startups that pitched at EF’s 10th Demo Day in London,techcrunch,http://techcrunch.com/2018/09/27/24-rounds-of-pitchlash/
2018-09-05T20:58:16Z,Lockheed Martin teams up with drone racers to add AI,techcrunch,http://techcrunch.com/2018/09/05/lockheed-martin-teams-up-with-drone-racers-to-add-ai/
2018-09-10T13:28:35Z,Adobe looks to AI to lift customer experience business,techcrunch,http://techcrunch.com/2018/09/10/adobe-looks-to-ai-to-lift-customer-experience-business/
2018-09-10T22:54:08Z,SETI neural networks spot dozens of new mysterious signals emanating from distant galaxy,techcrunch,http://techcrunch.com/2018/09/10/seti-neural-networks-spot-dozens-of-new-mysterious-signals-emanating-from-distant-galaxy/
2018-09-18T19:00:09Z,Microsoft launches new AI applications for customer service and sales,techcrunch,http://techcrunch.com/2018/09/18/microsoft-launches-new-ai-applications-for-customer-service-and-sales/
2018-09-18T13:00:15Z,"Indigo raises $250M, launches marketplace to help farmers get paid for quality grain",techcrunch,http://techcrunch.com/2018/09/18/indigo-raises-250m-launches-marketplace-to-help-farmers-get-paid-for-quality-grain/
2018-09-27T16:00:03Z,Dropbox overhauls internal search to improve speed and accuracy,techcrunch,http://techcrunch.com/2018/09/27/dropbox-overhauls-internal-search-to-make-it-easier-to-pinpoint-content/
2018-09-18T13:00:06Z,Mabl announces $20 million Series B to bring automated QA to enterprise customers,techcrunch,http://techcrunch.com/2018/09/18/mabl-announces-20-million-series-b-to-bring-automated-qa-to-enterprise-customers/
2018-09-24T19:20:43Z,Here’s everything Google announced today at its “Future of Search” event,techcrunch,http://techcrunch.com/2018/09/24/heres-everything-google-announced-today-at-its-future-of-search-event/
2018-09-26T16:30:42Z,A new way to explain neural networks,techcrunch,http://techcrunch.com/2018/09/26/a-new-way-to-explain-neural-networks/
2018-09-19T00:00:02Z,Google launches new AI initiatives in Japan,techcrunch,http://techcrunch.com/2018/09/18/google-launches-new-ai-initiatives-in-japan/
2018-09-07T00:48:39Z,Crossing Minds would like to recommend a few entertainment options,techcrunch,http://techcrunch.com/2018/09/06/crossing-minds-would-like-to-recommend-a-few-entertainment-options/
2018-09-05T20:40:59Z,"Clinc expands to automotive, releases SaaS platform for its voice AI assistant",techcrunch,http://techcrunch.com/2018/09/05/clinc-expands-to-automotive-releases-saas-platform-for-its-voice-ai-assistant/
2018-09-12T18:03:28Z,Apple’s new iPhones are powered by the industry’s first 7nm chips,techcrunch,http://techcrunch.com/2018/09/12/apples-new-iphones-are-powered-by-the-industrys-first-7nm-chips/
